X_Rail (0.01mm),Theta1 (0.1deg),Theta2 (0.1deg),Theta3 (0.1deg)
-3589,280,1159,161
-3589,275,1162,164
-3589,270,1164,166
-3589,265,1166,169
-3589,260,1168,172
-3589,255,1171,174
-3589,250,1173,177
-3589,245,1176,179
-3589,240,1179,182
-3589,235,1181,184
-3589,229,1184,186
-3589,224,1187,189
-3589,219,1190,191
-3589,214,1193,193
-3589,208,1196,196
-3589,203,1199,198
-3589,197,1203,200
-3589,192,1206,202
-3589,186,1210,204
-3589,181,1213,206
-3589,175,1217,208
-3589,169,1221,210
-3589,164,1224,212
-3589,158,1228,214
-3589,152,1232,216
-3589,146,1237,217
-3589,140,1241,219
-3589,134,1245,221
-3589,128,1250,223
-3589,128,1250,223
-3589,33,1392,175
-3589,33,1392,175
-3589,42,1386,173
-3586,49,1380,171
-3552,55,1375,170
-3522,61,1371,168
-3493,67,1366,167
-3467,73,1362,165
-3437,79,1357,163
-3407,85,1353,162
-3378,91,1349,160
-3350,97,1345,159
-3322,102,1341,157
-3290,107,1337,155
-3258,112,1334,154
-3227,118,1330,152
-3197,123,1327,150
-3168,128,1323,149
-3139,133,1320,147
-3113,139,1316,145
-3088,144,1313,143
-3063,149,1310,141
-3038,155,1306,139
-3009,160,1303,137
-2978,164,1301,135
-2947,169,1298,133
-2916,173,1295,131
-2885,178,1293,129
-2858,183,1290,127
-2831,188,1287,125
-2804,192,1285,123
-2775,197,1283,121
-2741,201,1281,119
-2695,202,1280,118
-2695,280,1159,161
-2664,280,1159,161
-2664,280,1159,161
-2664,202,1280,118
-2664,202,1280,118
-2647,197,1282,120
-2626,193,1285,123
-2591,189,1287,124
-2556,185,1289,126
-2521,182,1291,128
-2488,178,1293,130
-2457,173,1295,131
-2426,169,1298,133
-2395,165,1300,135
-2365,160,1303,137
-2335,156,1306,139
-2306,151,1309,140
-2276,146,1311,142
-2246,142,1314,144
-2215,137,1317,146
-2183,133,1320,147
-2151,128,1323,149
-2120,123,1326,150
-2088,119,1330,152
-2056,114,1333,153
-2024,109,1336,155
-1989,105,1339,156
-1954,100,1342,158
-1918,96,1345,159
-1882,91,1348,160
-1847,87,1352,161
-1811,82,1355,163
-1775,78,1358,164
-1740,73,1362,165
-1704,69,1365,166
-1667,64,1369,167
-1631,59,1372,169
-1595,55,1376,170
-1559,50,1379,171
-1522,45,1383,172
-1486,40,1387,173
-1450,35,1391,174
-1414,30,1395,175
-1378,25,1399,176
-1343,19,1403,178
-1307,14,1407,179
-1272,8,1412,180
-1236,3,1416,181
-1201,-3,1421,182
-1164,-9,1426,183
-1126,-14,1430,184
-1087,-19,1434,185
-1049,-24,1438,186
-1011,-30,1443,187
-973,-36,1448,188
-936,-42,1453,189
-899,-48,1458,190
-862,-54,1463,192
-825,-61,1468,193
-788,-68,1474,194
-748,-74,1478,195
-708,-79,1483,196
-668,-85,1488,197
-627,-91,1493,199
-587,-98,1498,200
-548,-105,1504,201
-509,-112,1509,203
-469,-119,1515,204
-430,-127,1521,206
-392,-135,1528,208
-354,-144,1535,210
-316,-154,1541,212
-275,-162,1548,214
-235,-171,1554,217
-193,-179,1560,219
-150,-186,1565,221
-107,-194,1571,223
-74,-209,1581,228
-40,-225,1592,234
1,-237,1599,238
43,-249,1607,243
85,-263,1614,248
126,-277,1623,254
164,-298,1634,264
200,-326,1648,278
236,-359,1663,296
275,-396,1677,319
314,-445,1694,350
353,-512,1714,398
393,-625,1739,486
432,-1020,1795,824
471,-1060,1800,860
509,-1062,1800,862
547,-1063,1800,863
586,-1065,1800,865
626,-1066,1800,866
663,-1068,1800,868
698,-1070,1800,870
735,-1072,1800,872
772,-1073,1800,873
810,-1075,1800,875
849,-1076,1800,876
885,-1078,1800,878
911,-1080,1800,880
